l_simp_chinese:
 ide_tot_soc: "极权社会主义"
 ide_aut_soc: "威权社会主义"
 ide_lib_soc: "自由意志社会主义"
 ide_soc_dem: "社会民主主义"
 ide_soc_lib: "社会自由主义"
 ide_mar_lib: "市场自由主义"
 ide_soc_con: "社会保守主义"
 ide_aut_dem: "威权民主主义"
 ide_despot: "专制主义"
 ide_fascist: "法西斯主义"
 ide_nat_soc: "民族社会主义"
 ide_eth_nat: "种族民族主义"
 the_ghost: "幽灵"
 avtoritet: "强力部门"
 trait_GMA_Left_Anarchist: "范·杜森拥护者"
 trait_GMA_Left_Anarchist_desc: "这名将领忠诚于绿山无政府主义集体的理念，并对戴维·范·杜森元帅忠诚不二。即使代价是付出生命，他也会服从来自后者的每一个命令。"
 trait_GMA_Right_Anarchist: "自由邦"
 trait_GMA_Right_Anarchist_desc: "致力于美式自由意志主义，“自由邦民”这个术语成为新罕布什尔州自由意志主义者的昵称，这是由于在“自由州计划”后，成千上万的自由意志主义者迁徙到新罕布什尔州，旨在建立第一个由自由党人治理的州。这位将领忠于“自由之子”组织的领导。"
 trait_GMA_Environmentalist: "环保主义者"
 trait_GMA_Environmentalist_desc: "环保主义者是一个致力于保护地球的多元化群体。他们的意识形态和所持理论各不相同，从无政府主义到生态法西斯主义不等，但他们都将为保护地球的安危而献身。"
 trait_GMA_PMC: "私人军事承包商"
 trait_GMA_PMC_desc: "仅专注于现金和利润本身，旧美国的军工复合体造就了许多优秀的私营军事公司。这名将领忠于私营军企统制的理念。"
 trait_GMA_Feminist: "唯灵论女权主义者"
 trait_GMA_Feminist_desc: "这位将军忠于米丽娅姆·西莫斯和她的唯灵论者联盟，认同其宗教和社会目标，即废除父权制，为世界带来女性主义平等新宗教。"
 hos_Indecisive_Leader: "优柔寡断的领袖"
 hos_Establishment_Bulwark: "建制桥头堡"
 hos_Unbowed_Revolutionary: "不屈的革命者"
 FRA_Controversial_Conservative: "备受争议的保守派"
 FRA_Cutthroat_Conquerant: "狠虐的征服者"
 hos_Modern_Robespierre: "当代罗伯斯庇尔"
 hos_Germanophile: "随和的独裁者"
 hos_Breton_Populist: "布列塔尼民粹主义者"
 hos_Emergency_Powers: "临危受命者"
 FRA_Military_Prey: "军方猎物"
 hos_Freedom_Fighter: "自由斗士"
 hos_Royalist_Puppet: "皇室傀儡"
 hos_Governor_Chief: "总督"
 trait_PTF_W2R: "§R“意志再崛起”运动§!分子"
 trait_PTF_W2R_desc: "§L这名将领是§R“意志再崛起”运动§!的成员之一，向罗伯特·伦多效忠并忠于民族斯巴达主义理念§!"
 trait_APA_jacobin: "雅各宾派拥护者"
 trait_APA_jacobin_desc: "§L这名将领效忠于美国人民解放军§R雅各宾派§!§!"
 trait_APA_octoberist: "十月派拥护者"
 trait_APA_octoberist_desc: "§L这名将领效忠于美国人民解放军§O十月派§!§!"
 trait_APA_anarchist: "无政府派拥护者"
 trait_APA_anarchist_desc: "§L这名将领效忠于美国人民解放军§G无政府派§!§!"
 trait_APA_neosocialist: "新社派拥护者"
 trait_APA_neosocialist_desc: "§L这名将领效忠于美国人民解放军§C新社派§!§!"
 USA_republican_loyalist: "共和党拥护者"
 USA_democrat_loyalist: "民主党拥护者"
 HEZ_secretary_general_of_the_jihad_council: "吉哈德大委员会秘书长"
 trait_eager_learner: "渴望学习"
 reinvigorated: "重振旗鼓"
 army_adaptibility_1: "自适应力（专业）"
 army_adaptibility_2: "自适应力（大师）"
 army_adaptibility_3: "自适应力（天才）"
 hos_indistinguished_suit: "迷雾之人"
 hos_covid_positive: "新冠阳性"
 hos_cult_of_personality: "个人崇拜"
 hos_divisive_populist: "民粹分离主义者"
 hos_divisive_populist1: "民粹分离主义者"
 hos_vanguard_of_america: "美利坚先锋"
 hos_american_cromwell: "美利坚的克伦威尔"
 hos_commander_in_chief: "总司令"
 hos_second_lenin: "列宁再世"
 hos_anti_war_activist: "反战活动家"
 hos_social_scholar: "社会学者"
 hos_flexible_ideologue: "投机思想家"
 hos_red_dragon_rider: "红龙驭者"
 hos_middleman: "中道之人"
 hos_insane_kleptocrat: "美利坚的卡利古拉"
 hos_expert_minuteman: "专精分钟人"
 hos_puppet_master: "傀儡大师"
 hos_puppet_master_2: "傀儡大师"
 hos_grey_wolf: "灰狼"
 hos_reiwa: "令和天皇"
 hos_avtoritet: "强力部门"
 hos_imperial_majesty: "陛下"
 hos_hates_russians: "仇恨俄罗斯"
 hos_shadow_dictator: "影子独裁者"
 hos_war_criminal: "战争罪犯"
 hos_respected_general: "受人尊敬的将领"
 hos_revolutioanry_spirit: "革命精神"
 hos_grandmaster: "大团长"
 hos_Failed_Diplomat: "外交行动失败"
 hos_soldier_of_the_revolution: "革命战士"
 hos_decisive_politician: "独断的政客"
 hos_commander_of_chaos: "混沌指挥官"
 hos_the_final_revolutionary: "最后的革命"
 hos_experienced_lawyer: "老道的律师"
 hos_political_jester: "政治弄臣"
 hos_economic_populist: "经济民粹派"
 hog_controversial_politican: "备受争议的政客"
 hog_impudent_poseur: "粗鲁的冒失鬼"
 hog_amatuer_socialist: "社会主义爱好者"
 hog_old_guard: "守旧派"
 hog_peaceful_revolutionary: "和平革命家"
 hog_militant_revolutionary: "激进革命家"
 hog_liberal_socialist: "自由社会主义者"
 hog_radical_militarist: "激进军国派"
 hog_military_statist: "军国主义者"
 hog_revolutionary: "革命家"
 hog_patriotic_ideolouge: "爱国思想家"
 hog_firebrand_revolutionary: "革命火炬"
 hog_committed_social_activist: "热心的社会活动家"
 hog_naive_optimist: "幼稚乐天派"
 hog_political_protege: "政治门生"
 hog_silent_workhorse: "沉默实干家"
 hog_flamboyant_tough_guy: "衣冠禽兽"
 hog_respected_war_hero: "备受尊崇的战争英雄"
 hog_corporate_suit: "企业职员"
 hog_happy_amateur: "自信的生手"
 hog_ambitious_union_boss: "野心勃勃的工会领袖"
 hog_experienced_journalist: "老道的记者"
 hog_popular_tyrant: "受欢迎的暴君"
 hog_local_tyrant: "地头蛇"
 hog_spiritual_leader: "精神领袖"
 hog_old_figurehead: "年迈的傀儡"
 hog_old_general: "老将军"
 hog_backroom_backstabber: "幕后暗害者"
 hog_pragmatic_statesman: "务实的政治家"
 hog_smiling_serpent: "笑里藏刀"
 hog_radical_financer: "激进的金融家"
 hog_fundementalist: "原教旨主义者"
 hog_distinguished_gentleman: "可敬的绅士"
 hog_pretty_boy: "美男子"
 for_iron_fisted_brute: "铁腕狂人"
 for_expansionist: "扩张主义者"
 for_fervent_nationalist: "民族主义狂热"
 for_loyal_nationalist: "忠诚民族主义者"
 for_the_cloak_n_dagger_schemer: "笑里藏刀的阴谋家"
 for_appeaser: "绥靖者"
 for_apologetic_clerk: "谦卑的公务员"
 for_general_staffer: "总参谋部幕僚"
 for_great_compromiser: "伟大的调停者"
 for_ideological_crusader: "意识形态十字军"
 for_biased_intellectual: "有偏见的知识分子"
 for_defensive_hawk: "戒备战鹰"
 for_wolf_warrior: "战狼"
 for_soviet_revanchist: "苏维埃复兴主义者"
 for_global_interventionist: "全球干涉主义者"
 for_free_trader: "自由贸易主义者"
 for_connected_businessman: "商人关系户"
 eco_corrupt_kleptocrat: "腐败的国贼政客"
 eco_experienced_capitalist: "久经考验的资本家"
 eco_syndicate_proponent: "辛迪加倡导者"
 eco_laissez_faire_capitalist: "自由放任资本主义者"
 eco_war_industrialist: "战争实业家"
 eco_captain_of_industry: "工业领袖"
 eco_economic_organizer: "经济组织者"
 eco_infantry_proponent: "步兵提倡者"
 eco_labor_specialist: "劳工专家"
 eco_collectivist: "集体主义者"
 eco_economic_populist: "民粹经济"
 eco_radical_redistrubutionist: "激进的再分配主义者"
 eco_mixed_economy: "混合经济支持者"
 eco_socialist_market_economist: "社会主义市场经济学家"
 eco_syndicalist: "工团主义者"
 eco_industrialiser: "实业家"
 eco_organized_racketeer: "组织骗子"
 eco_military_entrepreneur: "军事企业家"
 eco_balanced_budget_economy: "平衡预算经济学家"
 eco_keynesian_economy: "凯恩斯主义经济学家"
 eco_administrative_genius: "行政天才"
 eco_bank_president: "银行行长"
 eco_reformer: "改革家"
 eco_steel_magnate: "钢铁巨头"
 eco_resource_industrialist: "资源实业家"
 eco_construction_magnate: "工程巨头"
 eco_regretful_taxman: "后悔的税务员"
 sec_defensive_excavator: "抱着戒心的发掘者"
 sec_internal_compromiser: "内部调停者"
 sec_princess_of_terror: "恐怖的女巨头"
 sec_prince_of_terror: "恐怖的巨头"
 sec_silent_lawyer: "沉默的律师"
 sec_media_magnate: "媒体巨头"
 sec_crime_fighter: "罪恶斗士"
 sec_reformer: "改革家"
 sec_compassionate_gentleman: "慈悲的绅士"
 sec_rearmer: "军备重整者"
